Orig_Inv_Ttl_Prod_Value,DateTransactionJulian,DateInvoiceJulian,Total_Credit,Orig_Inv_Total_Due,Reference1,NameAlpha,State,City,ZipCodePostal,Country,City99,Return_By_State,Return_By_Zip,Return_Country,Error_Desc
124984.34,2017-06-14,2017-06-13,112485.906,124984.34,VDR04170007733,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,Duncansville,PA,16635,RV0,
57.26,2017-06-03,2017-06-02,51.534,57.26,TGT100148290029,MCKESSON CORPORATION,TX,Conroe,77303,USA,Minneapolis,MN,55403,FT3,
2078.11,2017-06-03,2017-06-02,1870.299,2078.11,WGC100140260067,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
787.46,2017-06-03,2017-06-02,708.714,787.46,WGC100140260105,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
9.76,2017-06-03,2017-06-02,8.784,9.76,WGC100140260227,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
15.08,2019-05-03,2019-05-02,13.572,15.08,GPS100211590040,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,LOUISVILLE,KY,40211,USA,
1633.15,2019-05-03,2019-05-02,1469.835,1633.15,WGC100204740179,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,USA,
5694.57,2019-05-04,2019-05-03,5125.113,5694.57,AIR100207670061,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,SHAKOPEE,MN,55379,USA,
68.2,2019-05-04,2019-05-03,61.38,68.2,ARR100207430313,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,SHAKOPEE,MN,55379,USA,
8910.02,2017-06-06,2017-06-05,8019.018,8910.02,SAM100169680143,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,BENTONVILLE,AR,72712,BS9,
294.45,2017-06-06,2017-06-05,265.005,294.45,SAM100169680564,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,BENTONVILLE,AR,72712,BS9,
2374.27,2017-06-06,2017-06-05,2136.843,2374.27,WMT100169320558,MCKESSON CORPORATION,TX,Conroe,77303,USA,Bentonville,AR,727168611,RW0,
241.68,2017-06-06,2017-06-05,217.512,241.68,WMT100169320823,MCKESSON CORPORATION,TX,Conroe,77303,USA,Bentonville,AR,727168611,RW0,
280.57,2017-06-06,2017-06-05,252.513,280.57,WMT100169320829,MCKESSON CORPORATION,TX,Conroe,77303,USA,Bentonville,AR,727168611,RW0,
9551.32,2017-06-28,2017-06-27,8596.188,9551.32,WAG51032,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,535989650,RW0,
249.0,2019-05-11,2019-05-10,224.1,249.0,3282019ALD,ROCHESTER DRUG CO-OPERATIVE INC,NY,ROCHESTER,14624,USA,ALDEN,NY,140041393,USA,
790.44,2019-05-07,2019-05-06,711.3960000000001,790.44,WMC100210480002,MCKESSON CORPORATION,TX,Conroe,77303,USA,Bentonville,AR,727168611,USA,
7356.85,2017-06-17,2017-06-16,6621.165,7356.85,CRX04012017010,Cardinal Health Inc.,IL,AURORA,605029418,USA,AURORA,IL,605029418,RW0,
294.98,2019-05-07,2019-05-06,265.482,294.98,SAM100205940513,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,Bentonville,AR,72716,USA,
1420.28,2019-05-07,2019-05-06,1278.252,1420.28,WMT100203560372,MCKESSON CORPORATION,TX,Conroe,77303,USA,Bentonville,AR,727168611,USA,
387529.04,2017-07-11,2017-07-10,348776.136,387529.04,XI0317111983,MCKESSON CORPORATION,TX,Conroe,77303,USA,CONROE,TX,773035702,RM0,
104.44,2017-06-08,2017-06-07,93.996,104.44,MRR100166080110,MCKESSON CORPORATION,TX,Conroe,77303,USA,Conroe,TX,77303,RM0,
52745.38,2017-06-28,2017-06-27,47470.842,52745.38,WAG51107,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,535989650,RW0,
1808.65,2019-05-09,2019-05-08,1627.785,1808.65,WIS100210160021,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,Fenton,MO,63026,USA,
33522.04,2017-06-22,2017-06-21,30169.836,33522.04,WAG51228,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,535989650,RW0,
95836.61,2017-07-19,2017-07-18,86252.949,95836.61,WAG51269,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,535989650,RW0,
27.56,2019-05-16,2019-05-15,24.804,27.56,QCR05-221615-101905,CARDINAL HEALTH,NC,GREENSBORO,274072647,USA,GREENSBORO,NC,274072647,USA,
92.54,2019-05-11,2019-05-10,83.286,92.54,SRT100208530008,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,Spartanburg,SC,293011134,USA,
87.3,2019-05-11,2019-05-10,78.57,87.3,BRT100208410033,SMITH DRUG COMPANY,VT,Milton,054683236,USA,MILTON,VT,05468,USA,
